C:/ModelTraining/Bengali/dataset/audio/0b0a78e148|male|এমন একটি অনুষ্ঠানে
C:/ModelTraining/Bengali/dataset/audio/0aa5aaaf97|female|বিভিন্ন রাজনৈতিক দলের নেতারা
C:/ModelTraining/Bengali/dataset/audio/0bf6809f24|female|মমকে দেখার পর থেকে
C:/ModelTraining/Bengali/dataset/audio/0b0885812b|male|যথাযথ সুযোগ দেয়া
C:/ModelTraining/Bengali/dataset/audio/0c1c998125|male|বাংলাদেশের চলচ্চিত্র 
C:/ModelTraining/Bengali/dataset/audio/0c8f93609e|male|তাঁহার বাম নয়ন ও 1 বাহু
C:/ModelTraining/Bengali/dataset/audio/0c425c8bd6|female|বামিংহামে আমাদের গীর্জায়
C:/ModelTraining/Bengali/dataset/audio/0053ecc424|male|ছোট গাড়ি 
C:/ModelTraining/Bengali/dataset/audio/0a8ff865f6|male|এখনো চলে যায়নি
C:/ModelTraining/Bengali/dataset/audio/0b06c6200e|male|দিন দিন সুনাম
